acid,	酸性の
acute,	鋭い
affect,	～に影響を及ぼす
aggressive,	攻撃的な
aid,	援助
ambitious,	野心的な
anxious,	心配して
appropriate,	適切な
apt,	～する傾向がある
artificial,	人工の
assist,	～を助ける
award,	賞
bear,	～を我慢する
bend,	～を曲げる
cell,	細胞
chase,	～を追跡する
cheer,	～を励ます
chemical,	化学薬品
circumstance,	事情
compete,	競争する
competition,	競争
concentrate,	～を集中させる
condition,	状況
crash,	衝突
cure,	治療
defeat,	～を打ち破る
defend,	～を守る
disaster,	天災
drown,	溺れる
effect,	結果
elementary,	初歩の
emergency,	緊急事態
encourage,	～を勇気付ける
endeavor,	努力
endure,	（苦痛、困難など）に耐える
essential,	極めて重要な
examine,	～を調査する
exceed,	～に勝る
exercise,	運動
external,	外部の
extreme,	極端な
fair,	公正な
fatal,	致命的な
fatigue,	疲労
fold,	～を折り畳む
frustration,	欲求不満
grasp,	～をつかむ
heal,	～を治す
honor,	名誉
hurt,	～を傷つける
imitate,	～をまねる
incredible,	信じられない
infant,	幼児
injection,	注入
injure,	～を痛める
injury,	（事故などによる）傷
institution,	会
instruct,	～を教える
internal,	内部の
justice,	公正
lay,	～を横たえる
medicine,	薬
mental,	精神の
mortal,	死ぬ運命にある
motivation,	動機づけ
odds,	優勢
opponent,	（討論や試合の）相手
overcome,	～を克服する
pause,	一時休止
persist,	固執する
physical,	身体の
pill,	丸薬
potential,	可能性
prevent,	～が...するのを防ぐ
process,	過程
proper,	ふさわしい
prospect,	見込み
recommend,	～を勧める
recover,	～を取り戻す
refuse,	～を断る
regulation,	規制
relieve,	～を取り除く
remove,	～を移動させる
rescue,	～を救う
restore,	～を（元の状態に）戻す
scratch,	～を引っかく
sore,	痛い
strength,	力
stretch,	～を伸ばす
strike,	～を打つ
successful,	成功した
suffer,	苦しむ
support,	～を支える
swell,	ふくらむ
symptom,	症状
thorough,	徹底的な
urgent,	急を要する
victim,	犠牲者
vital,	不可欠な
wound,	～を傷付ける